Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6086816145677065600,201.1406746544,-46.50302139466,-8.264,0.437,20.324278,20.796946,19.459879
6086816141379966848,201.14425641507,-46.50050980984,-7.233,-1.463,17.857672,18.15027,17.448837
6086816145681522816,201.14264825036,-46.50066446771,,,20.719667,20.960915,20.087
6086816145675901952,201.14715233487,-46.5030808881,-8.435,-2.459,20.061735,20.595444,19.055004
6086816141379968128,201.15055974058,-46.50010935581,-13.269,-0.985,19.690336,20.639654,18.599163
6086816145679889280,201.15208376571,-46.49417017906,5.354,-20.046,20.321812,21.427694,19.30536
6086816145680161024,201.14393569628,-46.4973488833,,,20.739407,21.65925,19.976757
6086816141379981440,201.1470074141,-46.4957479682,-4.816,-1.473,19.25571,19.649263,18.731213
6086816141379990272,201.14847023341,-46.4931930805,-6.785,-0.805,19.740889,20.127075,19.238441
6086816175739676032,201.1157178141,-46.50872947212,-7.863,-0.713,19.08198,19.385881,18.546839
6086816180036789120,201.11521596117,-46.50930567804,-4.988,-0.012,20.088194,20.363516,19.604692
6086816175739698304,201.11632086019,-46.50312398083,-4.46,3.796,17.850824,18.281109,17.297089
6086816180036793856,201.1167083777,-46.50408576303,-1.998,-4.561,20.523329,21.571608,19.283052
6086816180036790272,201.11232220984,-46.50500765703,,,20.800875,21.444363,20.129997
6086816180037792640,201.11267284054,-46.50417821158,,,21.017138,22.551138,20.502527
6086816175739698432,201.11675423193,-46.50159274932,-4.347,2.24,18.757166,19.288609,18.090668
6086816175739722624,201.13041107672,-46.49435153172,-9.295,-2.264,20.383427,21.063444,19.430092
6086816175739724416,201.12823982701,-46.49393765241,-1.12,2.756,19.567062,20.607138,18.65026
6086816175739713792,201.11689193652,-46.49722802279,-9.456,-1.528,18.079218,18.53901,17.488447
6086816175739735808,201.12724099895,-46.49030561898,-6.746,-4.767,19.775097,20.417526,18.946342
6086816214396544768,201.13572436903,-46.49370191371,,,20.760727,21.661905,19.91786
6086816210099468160,201.13435817333,-46.49218423364,-10.805,-0.057,19.62683,20.920248,18.572899
6086816210099478784,201.12974101624,-46.4891716447,-6.868,0.126,17.961449,18.434412,17.318518
