Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6083478711275310336,201.56372812137,-47.89969808763,-3.248,-6.771,18.139647,18.45603,17.676306
6083478715574730368,201.563802963,-47.89710719831,-2.628,-6.608,20.34838,20.990383,19.833735
6083478715583643520,201.57519859413,-47.8966758245,-4.4,-5.326,20.388844,20.51314,19.70527
6083478711275339520,201.5730807363,-47.89175475253,-3.223,-6.39,19.352459,19.729267,18.841635
6083478711275313664,201.55789660429,-47.8984822087,-2.733,-6.233,19.897446,20.34642,19.57279
6083478715583666688,201.55883111107,-47.89804855858,-2.612,-6.879,19.843937,20.20359,19.360806
6083478711275328896,201.56402408919,-47.8941624613,-3.671,-6.313,20.159197,20.755552,19.501953
6083478711275336192,201.56198134555,-47.89257367803,-3.399,-6.897,18.798422,19.173544,18.308947
6083478711275344640,201.56555409698,-47.89026185299,-3.654,-6.479,18.366518,18.70024,17.867903
6083478715574751872,201.56627965362,-47.88730179893,-4.489,-6.114,19.385902,19.690374,18.72128
6083478745635020928,201.53137997319,-47.90652201498,-4.702,-7.021,20.153744,20.737358,19.489153
6083478745636826752,201.53385917461,-47.90517709677,-2.464,-6.66,20.465439,21.123682,19.690147
6083478749943252480,201.53128510397,-47.9027114166,-4.011,-6.558,18.27107,18.347778,17.50586
6083478749943378944,201.54653809834,-47.89882215534,-3.497,-6.971,18.156282,18.483707,17.677954
6083478749943256320,201.53881154443,-47.89689878271,-3.386,-6.634,19.744884,20.135767,19.236183
6083478745635072128,201.54651849109,-47.89259068899,-2.874,-6.295,20.1896,20.596174,19.614054
6083478749943255552,201.53178681414,-47.89819324435,-3.409,-6.413,18.577131,18.947361,18.098576
6083478749943256832,201.5355732674,-47.89570267953,-3.347,-7.073,19.868494,20.407501,19.401783
6083478745635079296,201.5353815208,-47.89098283295,-3.176,-6.608,18.20242,18.559282,17.679413
6083478745635097984,201.54555111447,-47.88649523379,-3.081,-6.652,19.384275,19.775679,18.843449
6083478779996574848,201.55067643873,-47.89320921175,-2.894,-6.86,20.104176,20.751686,19.481937
6083478784303118720,201.55347152006,-47.89221914094,-3.37,-6.441,19.303204,19.732702,18.734245
6083478784294205312,201.5550319165,-47.89103817315,-1.547,-7.134,20.566668,21.292835,19.892803
6083478779994820224,201.55117723679,-47.89039017157,-3.259,-6.33,18.531202,18.872849,18.021584
6083478784294211328,201.55623561567,-47.88786682461,-4.512,-5.807,20.302742,20.830208,19.799496
6083478784294216192,201.56121452743,-47.88944569374,-3.472,-7.149,20.445004,21.188717,19.798492
6083478784303119616,201.55351922934,-47.88522839234,-3.019,-6.347,17.474703,17.890804,16.913149
6083478745644539776,201.54681969417,-47.8870134918,-3.749,-6.405,20.114265,20.590057,19.352364
6083478784303120384,201.55777474126,-47.88231861938,-3.157,-6.448,19.20886,19.682777,18.761768
